Name,Price,Quantity,Weight
"Wai Wai Zing Hot & Spicy Instant Noodle, 5 Packs, Free Bowl",Rs.120,5,5 Pack
Wai Wai Chicken 65 gm (Pack of 30),Rs.660,30,65 gm
Maggi Veg Atta Noodles Masala 290 gm,Rs.240,1,290 gm
Wai Wai Chicken Bhujia Curry 750g,Rs.110,1,750 gm
Wai Wai Veg Masala 65 Gm (Pack of 30),Rs.660,30,65 gm
Saymang Buldak Topokki (Pasta Carbonara Flavor) Pack of 2 (tteokbokki) (rice cake),Rs.500,2,2 Pack
Rara Instant Noodles With Chicken Soup Base 30packs,Rs.600,1,1 Pack
Wai Wai Chicken 85g (Pack of 30),Rs.750,30,85 gm
Samyang 2x Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850,5,140 gm
Yashoda Foods Current Noodles Hot 'n' 2x Spicy Noodles  100gm,Rs.45,1,100 gm
Wai Wai Quick Chicken Pizza 70 Gm (Pack of 30),Rs.600,30,70 gm
Nongshim Soon Veggie Ramyun 5 Pack,Rs.750,5,5 Pack
Samyang Buldak Jjajang Hot Chicken Flavor Ramen(Pack of 5),Rs.994,5,5 Pack
Tiger Brand Atta Noodles 400G,Rs.110,1,400 gm
Yashoda Foods Current Noodles Hot 'n' Spicy Chilli + Pepper 100gm Carton 20 Pieces,Rs.850,20,100 gm
Yashoda Foods Current Noodles Hot 'n' Spicy Chilli + Pepper 100gm Pack of 5,Rs.220,5,100 gm
Hot Pot Gourmet Spicy Vegetable Noodles 100G,Rs.50,1,100 gm
CG Wai Wai Quick Masala Curry Instant Noodle 60gm,Rs.20,1,60 gm
CG Wai Wai Quick Instant Noodles Chicken Pizza Noodle 60gm Pack of 5,Rs.95,5,60 gm
Asian 2Pm Noodle Akabare Chicken 2X Spicy 100gm Pack of 5,Rs.220,5,100 gm
Spartan Egg Chowmein 360G,Rs.75,1,360 gm
Pack Of -5 Wai Wai Chicken Flavoured Instant Noodles Per Pic -75Grm,Rs.100,5,75 gm
Maggi Masala 2Min Noodles 420G,Rs.210,1,420 gm
Wai Wai Quick Masala Curry 30 packs,Rs.600,30,30 Pack
Sweet Potato Noodle - 200 gm,Rs.425,1,200 gm
Current Hot N Lemon Veggie Soup Noodles (Pack of 5 X 100 gm),Rs.225,5,100 gm
Maggi 2-Minute Instant Noodles - Masala - 140 Gm(Pack of 3),Rs.225,1,140 gm
CG Wai Wai Per-Cooked Flavoured Instant Noodles 80gm,Rs.25,1,80 gm
Current 2X Spicy Noodles (Pack of 5 X 100 gm),Rs.225,5,100 gm
CG Wai Wai Quick Instant Noodles Chicken Pizza Noodle 60gm,Rs.20,1,60 gm
Nongshim Shin Cup Noodle 68g,Rs.170,1,68 gm
Samyang Buldak Carbonara hot Chicken Flavor Topokki Noodle 179gm,Rs.250,1,179 gm
CG Wai Wai Quick Masala Curry Instant Noodle 60gm Pack of 5,Rs.95,5,60 gm
2Pm 2X Spicy Akabare Chicken Noodles 100G,Rs.50,1,100 gm
Jjajang Buldak Korean Black Bean Sauce 700g(5packs),Rs.990,1,700 gm
Nong-Shim Instant Shin Ramyun Noodle Soup 120G(Pack of 5),Rs.612,1,120 gm
Maggi 2-Minute Noodles Masala 70G,Rs.36,1,70 gm
Samyang Single Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850,5,140 gm
Yashoda Foods Current Noodles Hot 'n'  Lemon Veggie Soup Noodles 100gm Pack of 5,Rs.220,5,100 gm
Asian 2Pm Noodle Akabare Chicken 2X Spicy 100gm,Rs.45,1,100 gm
